Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
UserLogin,16137,1798,169,7048,795.47,0.00%,6.7,6.20,943.6
VendorLogin,919,1769,171,5456,869.42,0.00%,.5,0.53,1105.1
BusinessList,2761,1839,173,5690,745.19,0.00%,1.2,2.84,2497.4
ListCategory,310,1746,172,3385,860.37,0.00%,.2,0.18,1083.2
GetCatagory,308,1759,172,3553,878.72,0.00%,.2,0.11,652.1
VendorSearch,2747,1849,173,6243,740.33,0.00%,1.2,1.34,1183.9
ProductList,304,2513,1022,5642,832.90,0.00%,.2,6.81,42613.9
GetProduct,303,1818,172,5916,979.56,0.00%,.2,0.17,1039.3
GetVendorDetails,2741,1839,172,5475,738.37,0.00%,1.2,1.22,1082.7
GetVendorLocation,2734,1842,172,7620,751.31,0.00%,1.2,0.76,673.7
VendorProducts,2724,2619,172,6908,733.32,0.00%,1.1,48.05,42859.3
SetFollow,5344,1897,171,6362,721.33,0.00%,2.3,1.37,618.9
OrderList,302,9875,172,82226,11769.36,0.00%,.2,61.59,377885.1
VendorFollowList,2687,1881,173,5617,735.74,0.00%,1.1,1.56,1392.2
OrderStatus,302,2104,173,62130,3578.64,0.00%,.2,0.10,619.0
VendorList,2679,2535,175,6517,988.26,0.00%,1.1,42.15,37771.0
SalesCount,302,1835,171,6321,885.36,0.00%,.2,0.11,644.9
LeadsCount,302,1649,170,4325,992.83,0.00%,.2,0.10,624.7
Leads,302,1606,170,5328,1046.35,0.00%,.2,0.13,776.9
RatingList,2672,2908,1247,6982,671.33,0.00%,1.1,64.22,57729.0
AddRating,2662,1902,173,6562,718.06,0.00%,1.1,0.68,614.6
RemoveFollow,5293,1770,170,7067,851.80,0.00%,2.3,1.42,639.9
Add/EditOffer,900,1850,178,4053,801.84,0.00%,.5,0.30,616.2
ApproveOffer,895,2484,412,6854,1067.96,0.00%,.5,0.27,556.8
VendorProvidingOffers,2652,3355,172,8260,1294.47,0.00%,1.1,38.02,34220.0
ListOffers,2644,2912,172,7779,1071.00,0.00%,1.1,60.44,54554.4
ClaimOffer,2639,2026,170,6333,748.83,0.00%,1.1,0.68,617.0
ClaimedOffers,2638,1701,170,5734,961.49,0.00%,1.1,11.51,10406.8
List offer,893,3478,1296,7551,873.52,0.00%,.5,36.22,74460.3
SetRange,2629,1918,171,4668,683.19,0.00%,1.1,0.70,630.0
ProductSearch,2622,2066,174,7195,731.63,0.00%,1.1,3.26,2933.8
SaveDeliveryAddress,2606,1932,175,6140,688.45,0.00%,1.1,0.85,770.3
GetDeliveryAddress,2595,1924,172,6294,677.05,0.00%,1.1,0.87,792.4
PlaceOrderWIthAddress,2584,2033,177,6220,697.03,0.00%,1.1,0.71,639.0
TOTAL,81132,2082,169,82226,1278.32,0.00%,33.8,361.99,10980.6
